
SalesReportLog-2022-04-19-15:16:02.387
Product Name              Quantity Sold   Gross Sales    

U-Chews                   0               $0.00          

Cola                      0               $0.00          

Little League Chew        0               $0.00          

Moonpie                   0               $0.00          

Dr. Salt                  0               $0.00          

Chiclets                  0               $0.00          

Potato Crisps             1               $3.05          

Cowtales                  0               $0.00          

Mountain Melter           0               $0.00          

Triplemint                0               $0.00          

Stackers                  0               $0.00          

Wonka Bar                 0               $0.00          

Heavy                     0               $0.00          

Grain Waves               0               $0.00          

Crunchie                  0               $0.00          

Cloud Popcorn             0               $0.00          

Total Gross Sales : $3.05

SalesReportLog-2022-04-19-15:27:52.375
Product Name              Quantity Sold   Gross Sales    

U-Chews                   0               $0.00          

Cola                      0               $0.00          

Little League Chew        0               $0.00          

Moonpie                   0               $0.00          

Dr. Salt                  0               $0.00          

Chiclets                  0               $0.00          

Potato Crisps             3               $9.15          

Cowtales                  0               $0.00          

Mountain Melter           0               $0.00          

Triplemint                0               $0.00          

Stackers                  0               $0.00          

Wonka Bar                 0               $0.00          

Heavy                     1               $1.50          

Grain Waves               0               $0.00          

Crunchie                  0               $0.00          

Cloud Popcorn             0               $0.00          

Total Gross Sales : $10.65

SalesReportLog-2022-04-19-16:07:21.503
Product Name              Quantity Sold   Gross Sales    

U-Chews                   0               $0.00          

Cola                      0               $0.00          

Little League Chew        0               $0.00          

Moonpie                   0               $0.00          

Dr. Salt                  0               $0.00          

Chiclets                  0               $0.00          

Potato Crisps             0               $0.00          

Cowtales                  0               $0.00          

Mountain Melter           0               $0.00          

Triplemint                0               $0.00          

Stackers                  0               $0.00          

Wonka Bar                 0               $0.00          

Heavy                     0               $0.00          

Grain Waves               0               $0.00          

Crunchie                  0               $0.00          

Cloud Popcorn             0               $0.00          

Total Gross Sales : $0.00
